meter_id,cluster_id
METER_0102,6
METER_0103,6
METER_0104,6
METER_0105,6
METER_0106,6
METER_0107,6
METER_0108,6
METER_0109,6
METER_0200,0
METER_0201,0
METER_0202,0
METER_0203,0
METER_0204,0
METER_0205,0
METER_0206,0
METER_0207,0
METER_0208,0
METER_0209,0
METER_0300,0
METER_0301,0
METER_0302,0
METER_0303,0
METER_0304,0
METER_0305,0
METER_0306,0
METER_0307,0
METER_0308,0
METER_0309,0
METER_0400,0
METER_0401,0
METER_0402,0
METER_0403,0
METER_0404,0
METER_0405,0
METER_0406,0
METER_0407,0
METER_0408,0
METER_0409,0
METER_G001,7
METER_G002,7
METER_G003,7
METER_G004,6
METER_G005,6
METER_T001,4
METER_T002,1
METER_T003,1
METER_T004,5
METER_T005,3
METER_V001,2
METER_V002,2
