meter_id,lat,lng,feeder_id,transformer_id,zone,consumer_category,sanctioned_kva,connection_date
METER_T001,12.971752,77.59408,F001,T001,ZONE_1,COMMERCIAL,25.0,2021-03-03
METER_T002,12.970949,77.594664,F001,T001,ZONE_1,COMMERCIAL,63.0,2018-11-13
METER_T003,12.97204,77.594989,F001,T001,ZONE_1,RESIDENTIAL,50.0,2022-07-12
METER_T004,12.97117,77.594784,F001,T001,ZONE_1,RESIDENTIAL,100.0,2022-04-18
METER_T005,12.971508,77.59426,F001,T001,ZONE_1,INDUSTRIAL,50.0,2022-09-22
METER_V001,12.971424,77.594866,F001,T001,ZONE_1,RESIDENTIAL,63.0,2018-09-19
METER_V002,12.972671,77.594397,F001,T001,ZONE_1,RESIDENTIAL,100.0,2019-01-13
METER_G001,12.972164,77.594543,F001,T001,ZONE_1,RESIDENTIAL,50.0,2019-07-19
METER_G002,12.971972,77.594872,F001,T001,ZONE_1,COMMERCIAL,50.0,2022-11-11
METER_G003,12.971709,77.595036,F001,T001,ZONE_1,RESIDENTIAL,100.0,2018-10-01
METER_G004,12.985145,77.610416,F002,T001,ZONE_2,COMMERCIAL,50.0,2021-07-13
METER_G005,12.984681,77.609962,F002,T001,ZONE_2,RESIDENTIAL,50.0,2021-08-13
METER_0102,12.984159,77.609933,F002,T001,ZONE_2,RESIDENTIAL,63.0,2020-02-16
METER_0103,12.985397,77.609926,F002,T001,ZONE_2,RESIDENTIAL,100.0,2019-04-12
METER_0104,12.984362,77.609533,F002,T001,ZONE_2,RESIDENTIAL,100.0,2019-12-08
METER_0105,12.985345,77.609886,F002,T001,ZONE_2,COMMERCIAL,100.0,2021-05-11
METER_0106,12.985228,77.609769,F002,T001,ZONE_2,RESIDENTIAL,25.0,2018-10-20
METER_0107,12.985243,77.609865,F002,T001,ZONE_2,RESIDENTIAL,100.0,2018-06-19
METER_0108,12.985333,77.610051,F002,T001,ZONE_2,RESIDENTIAL,63.0,2021-08-10
METER_0109,12.984276,77.609439,F002,T001,ZONE_2,INDUSTRIAL,50.0,2022-06-19
METER_0200,12.957811,77.64165,F003,T002,ZONE_3,COMMERCIAL,50.0,2021-10-13
METER_0201,12.957897,77.640525,F003,T002,ZONE_3,INDUSTRIAL,25.0,2020-09-06
METER_0202,12.958217,77.641119,F003,T002,ZONE_3,RESIDENTIAL,50.0,2022-01-21
METER_0203,12.957735,77.641116,F003,T002,ZONE_3,RESIDENTIAL,25.0,2020-02-18
METER_0204,12.957488,77.64109,F003,T002,ZONE_3,RESIDENTIAL,25.0,2020-03-09
METER_0205,12.958178,77.641732,F003,T002,ZONE_3,RESIDENTIAL,100.0,2018-04-25
METER_0206,12.957805,77.640312,F003,T002,ZONE_3,RESIDENTIAL,50.0,2018-02-26
METER_0207,12.957492,77.641157,F003,T002,ZONE_3,RESIDENTIAL,50.0,2020-09-14
METER_0208,12.958207,77.640505,F003,T002,ZONE_3,RESIDENTIAL,100.0,2019-12-09
METER_0209,12.957792,77.640694,F003,T002,ZONE_3,RESIDENTIAL,50.0,2022-01-25
METER_0300,12.935121,77.623982,F004,T002,ZONE_4,RESIDENTIAL,63.0,2021-02-08
METER_0301,12.93534,77.625384,F004,T002,ZONE_4,COMMERCIAL,50.0,2018-08-25
METER_0302,12.934608,77.624017,F004,T002,ZONE_4,RESIDENTIAL,63.0,2019-04-23
METER_0303,12.935619,77.624049,F004,T002,ZONE_4,INDUSTRIAL,63.0,2019-08-14
METER_0304,12.93518,77.624173,F004,T002,ZONE_4,RESIDENTIAL,63.0,2018-04-12
METER_0305,12.934561,77.624586,F004,T002,ZONE_4,COMMERCIAL,100.0,2022-03-25
METER_0306,12.935343,77.625153,F004,T002,ZONE_4,COMMERCIAL,50.0,2021-05-11
METER_0307,12.935414,77.625268,F004,T002,ZONE_4,RESIDENTIAL,25.0,2022-12-07
METER_0308,12.936025,77.625362,F004,T002,ZONE_4,RESIDENTIAL,63.0,2018-05-17
METER_0309,12.934646,77.624053,F004,T002,ZONE_4,COMMERCIAL,50.0,2022-06-14
METER_0400,13.009918,77.550169,F005,T002,ZONE_5,RESIDENTIAL,50.0,2018-01-19
METER_0401,13.008975,77.549976,F005,T002,ZONE_5,RESIDENTIAL,100.0,2020-06-06
METER_0402,13.009833,77.550458,F005,T002,ZONE_5,COMMERCIAL,100.0,2018-06-04
METER_0403,13.010244,77.549758,F005,T002,ZONE_5,RESIDENTIAL,25.0,2020-07-18
METER_0404,13.010669,77.549923,F005,T002,ZONE_5,INDUSTRIAL,50.0,2018-08-15
METER_0405,13.010088,77.549458,F005,T002,ZONE_5,RESIDENTIAL,63.0,2020-01-27
METER_0406,13.010938,77.549573,F005,T002,ZONE_5,COMMERCIAL,50.0,2020-08-22
METER_0407,13.010158,77.550603,F005,T002,ZONE_5,COMMERCIAL,50.0,2021-06-07
METER_0408,13.009919,77.549469,F005,T002,ZONE_5,COMMERCIAL,100.0,2021-04-12
METER_0409,13.009562,77.549953,F005,T002,ZONE_5,COMMERCIAL,50.0,2020-07-07
